Plate,Customer_meaning,Reviewer_comments
GOLD$13,NOT ON QUICKWEB YET,13=GANG NUMBER, NO 2013 CAR ON ANI. LAST NAME IS GOLDSTEIN
1OGAUZ&,NOT ON QUICKWEB YET,10 GAUGE? THAT IS A SHOTGUN
TRSHD,NOT ON QUICKWEB YET,TRASHED=VERY INTOXICATED. I FOUND 2 SIMILAR CONFIGURATIONS OUT, ONE CURRENT AND ONE WHERE THE TITLE WAS RECENTLY SURR TO NC (THIS IS A VET PLATE)
BCUZG37,THE CAR DRIVEN.,CUZ GANG REFERENCE
BLKSKAT,COLOR AND MODEL OF VEHICLE,SCAT IS ANOTHER NAME FOR SHIT.. COULD BE SAYING BLACKS CAT OR BLACK SCAT
BOSS1UP,I'M THE # BOSS,BOSS UP CAN BE A SEXUAL REFERENCE
CHP NOO,NO ROCK CHIPS! CHIP NO! NO CHIP! TRYING TO AVOID GETTING ROCK CHIPS ON MY PAINT,CHP
CHP XPLR,I'M DRIVING AN OLD CHP EXPLORER,CHP
DON6,MY LAST NAME IS DONDIEGO BUT IT WONT FIT SO I WANT THE BEGINNING AND 6 WAS THE NUMBER OF MY HIGHSCHOOL FOOTBALL NUMBER,LOOKS LIKE DONG AS IN PENIS
DUBS 707,DUBS REPRESENTS DUBNATION FOR NBA GS WARRIORS AND 7O7 IS MY AREA CODE,707 AREA CODE
EFUU,ERIC FU,FUCK YOU
ELARA 13,,13 GANG REFERENCE
EL BOX,"THE CAR THE PLATE WILL BE ON IS A 1951 FORD CRESTLINER. THE NICKNAME FOR THE 1949-51 FORD MODEL IS ""SHOEBOX.""",THE BOX BOX CAN BE A SEXUAL REFERENCE
F GATORS,FLORIDA GATORS,COULD BE F AS IN FLORIDA GATORS OR F AS IN FUCK THE GATORS
J LOUD,HYPENATED LAST NAME,LOUD IS ANOTHER TERM FOR POTENT WEED
JUST  A K,,AK GUN
LUB PINK,I LOVE PINK,LOVE PINK PINK ANOTHER TERM FOR VAGINA
NEGRA15,MOTHERS NICK NAME GROWING UP,NEGRA SLANG TERM FOR NEGRO NIGGA ETC.
NOE G,,G AS IN GANGSTER
NOGT NTZ,,NTZ LOOKS LIKE NUTS OR NATZI
O3 TACO,,TACO
REDXTOY,MY BUSINESS IS CALLED THE RED TOY. THE X IS JUST FOR SPACING,RED
R26R26 G,,G AS IN GANGSTER
R8ED R,THIS IS FOR A VOLKSWAGEN GOLF R, HUMOROUS PLAY ON MOVIE RATING - RATED R,RATED R
SIX13,THE NUMERICAL REPRENTATION OF MY INITIALS (FM),13 GANG REFRENCE
SONIC HH,SONIC THE HEDGEHOG. SIMILAR IN COLOR AND CHILDHOOD CARTOON.,HH HAIL HITLER
XLR18,XLRTING,18 HITLER REFERENCE
YLO KITY,YELLOW CAR. KITTY IS DRIVER,KITTY
13 EAD,,13 GANG REFERENCE
14 COGIG,,14 GANG REFERENCE  NCHURCH OF GOD IN CHRIST
5000 G,THE CAR IS AN AUDI AND 5000 G IS A ANOTHER WAY OF SAYING GOODBYE,G AS IN GANGSTER
510NATE,BODY STYLE IS 510 AND PEOPLE CALL ME NATE,510 AREA CODE
628HP,628 HORSE,628 AREA CODE
805 FORD,AREA CODE & VEHICLE MAKE,805 AREA CODE
999HH,999 HAPPY HAUNTS FROM THE HAUNTED MANSION RIDE AT DISNEYLAND,HH HAIL HITLER
BDFNKNG,,CAN NOT TRANSLATE
BRAAAP9,,BRAP SOUND OF A GUN AND OR CAR
BRAAP89,,BRAP SOUND OF A GUN AND OR CAR
WSUC$UG,"(WSU)=WASHINGTON STATE UNIVERSITY , (C*UG)= SCHOOL MASCOT IS THE COUGAR.",SUCK
88LQP88,BLESS MY WIFE,88 HITLER REFERENCE
LUVSHK,LOVE SHACK,LOVE SHACK
DIVA KAT,"DIVA IS MY TOY POODLE DOG'S NAME, KAT IS MY NICKNAME (THIS IS THE 4TH TIME I AM TRYING TO GET A PLATE WITH MY NICKNAME ON IT)",KAT
ILS LOC,AVIATION APPROACHES LETTERS   ILSLOC IS INSTRUMENT LANDING SYSTEM LOCALIZER FOR PILOTS,LOC AS GANG REFERENCE
JAW GRLS,,JAW GIRLS COULDBE A SEXUAL TERM
TITUP 72,,TIT UP
WLS 18,,18 HITLER REFERENCE
8888RNH,,88 HITLER REFERENCE
BOHICA7,NO MICRO,BEND OVER HERE IT COMES AGAIN
BOZDEEP,BEING OVER THE ZONE DAMAGES EVERY EMOTIONS IN PEOPLE,BALLS DEEP?
CUCHI68,CUCHI IS A LOCATION IN VIETNAM WHERE I SERVED IN 1968,COOCHIE. CU CHI IS A CITY IN VIETNAM.
GMONEYY,G MONEY. MY NICKNAME,G. FIRST NAME IS GINA
GUUCHIE,KIDS NICKNAME,GOOCHIE
G35BTCH,MODEL OF VEHICLE,G35 BITCH
JHSTACO,JACKSON HOLE SKI TACO *FOR TACOMA*,TACO. NO TACOMA REGISTERED
PHIPHI,NO MICRO,FIFI IS UNACCEPTABLE AS A MASTERBATION DEVICE IN PRISON. PHI IS THE CUSTOMERS NAME
URBAN13,MY WIFE AND I HAVE A COMPANY NAMED URBAN SHINDIGS AND OUR FAVORITE NUMBER IS 13,13-GANG
VR MR 69,MINE AND MY SON'S INITIALS,CUSTOMERS INITIALS ARE VR. NO 1969 REGISTERED
2LO45OH,CARS NAME,TOO LOW FOR 50 (POLICE?)
6T9 REDO,THE CAR LOOKS LIKE A REDUE FROM 1960'S,COULDN'T VERIFY 1969
69MOBBN,THE 69 STANDS FOR THE YEAR OF THE CAR. WHICH IS A 1969 CAMARO. MOBBIN IS A SLANG TERM FOR HANGING OUT AND DRIVING AROUND TOWN WITH OTHER CLASSIC CARS,COULDN'T VERIFY 1969
88KRYPT,NO MICRO,88-HITLER
F O C M,NO MICRO,FOCK EM… FUCK EM?
VG 13,NO MICRO,13-GANG
BG TUNA,NICKNAME,TUNA
13 DOG,NO MICRO,13-GANG
HOYA 88,GEORGETOWN UNIVERSITY STUDENTS ARE KNOWN AS HOYA AND I GRADUATED IN 1988,88-HITLER
AFEEM,NOT ON QUICKWEB YET,ANOTHER NAME FOR OPIUM
AIVAREZ,LAST NAME,SUBSTITUTING AN I FOR AN L TO SPELL LAST NAME, OTHER PLATE IS ALREADY TAKEN. UNACCEPTABLE?
ALFA BLU,MOVIE,THE SATISFIERS OF ALPHA BLUE… THINK IT MIGHT BE PORN. EITHER WAY PULLED FOR BLUE=GANG COLOR
BEANSER,MY NICKNAME FROM MY CHILDHOOD,LIKE BEANER
BLEDWHT,BLED WHITE. IT IS AN ELLIOTT SMITH SONG ABOUT A CITY LOSING ITS C,it is a song. Not sure of meaning. bled white sounds life threatening..?
BLKK666,BLACK DEVIL,BLACK DEVIL
BZZZOOM,BUZZ AND ZOOM,slang for breast, buzoom… busom. Has a Mini.
B42OM5W,BIRTHDAY AND CAR MAKE AND MODEL,pulled for 420, drug connotation. Appears to be his birthday.
CLKSKNT,SUPERMAN,CLARKS KENT? OR CLARKS KUNT
CPTNMTH,CAPTAIN NOMOUTH - A FICTIONAL SUPERHERO I MADE WHEN I WAS 11.,CAPTAIN METH
DRI 14,COMPANY NAME IS DRI,14=hate symbol, does have a 2014 car
DWNNDGN,INITIALS OF FAMILY MEMBERS,DOGGING? CAN HAVE A SEXUAL CONNOTATION.. OR DOWN IN THE DUNGEON? NOT CUSTOMER'S INITIALS.
FIRMEAF,FIRME ALL FRIDAYS,firme as fuck
GBACHO54,GABACHO 1954,gabacho is a Spanish word. It is a derogatory word for a white person or foreigner
HEL OLI,MY DAUGHTERS' NAME ARE: HELEN AND OLIVIA,HELL?
HUCK13,DAD'S NICK NAME AND BIRTHDATE,13=GANG NUMBER, NO 2013 CAR ON ANI
ILEGAL,NOT ON QUICKWEB YET,ILLEGAL AS IN ILLEGAL IMMIGRANT… ILLEGAL IS UNACCEPTABLE ALREADY
ITS MY G,NOT ON QUICKWEB YET,g=gangster, HAS A TOYOTA AND INFINITI. COULD BE THE MODEL FOR INFINITI
KSS MAAS,KARISHMA IS MY GODMOTHER. HER MIDDLE NAME IS ANGELICA AND HER LAST NAME IS SINGH.,KISS MY ASS
KYLERHO,NAME AND LAST NAME,pulled for ho but it is customer's last name
MALOSO G,MALOSO GEORGE,G=gangster… I think maloso means bad guy in Spanish
MILLS13,LAST NAME & BIRTHDAY,no 2013 car, 13=gang number
NIJJAR 8,NOT ON QUICKWEB YET,THIS IS A SURNAME FOUND IN INDIA ALTHOUGH NOT CUSTOMER'S NAME. SOME OF THESE HAVE BEEN DENIED (LOOKS LIKE 'N' WORD) BUT SOME ARE OUT THERE
OG LARAM,ORIGINAL LOS ANGELES RAMS FAN,OG=ORIGINAL GANGSTER
OHNO COP,OH NO COP,COP
PDEQ,NOT ON QUICKWEB YET,PDQ=PRETTY DAMN QUICK. PDEQ=pão de queijo, meaning 'cheese bread' in Portuguese.
PM PISTL,NOT ON QUICKWEB YET,pistol=gun
PTWN559,CITY AND AREA CODE,559 area code for Parlier (Fresno county)
RODZ 69,NOT ON QUICKWEB YET,NO 69 ON ANI
R8DRHMR,RAIDER HUMMER,"customer's name is Raider, no Hummer on ani but it says ""additional registrations 5"" so they all arent showing…"
SED8 PRN,SEDATE AS NEEDED (ANESTHESIA PROVIDER,questioning the 'sedate as needed' also, although PRN does mean 'as needed', it looks like 'porn' also. IF YOU SAY NO PLEASE LET ME KNOW FOR WHICH REASON I SHOULD SEND LETTER, D OR #1
STCBCHS,SAVE THE CALIFORNIA BEACHES,or suck that cock bitches
STEAMBX,STEAM BOX,HAS A 2016 TOYOTA P/U. PULLED FOR BOX
SUHH LIT,RYAN OJEDA,lit can mean intoxicated, his meaning is his name
SURF JP,JUST FOR FUN,JP=JAP OR JEEP? DOES HAVE A JEEP THO
SXPSTLS,SIX PISTOLS,SEX PISTOLS
TNTSPRT,TROY AND TERRI SPORT,tnt=dynamite
TOSS MUP,NOT ON QUICKWEB YET,a toss up is a ho, a female who trades sex for drugs
UCDAICE,MEANS MY PAINT SHINES LIKE ICE. I DETAIL CARS,you see the ice, ice can mean meth
UDM4SHO,ULTIMATE DRIVING MACHINE FOR SHOW,YOU DAMN FO SHO
VCIOUS V,THIRD TIME TRYING TO GET SOME CUSTOM PLATES WITH DIFFERENT NAMES. NOTHING OFFENSIVE ON THIS ONE. V STANDS FOR THE MODEL OF THE CAR CTS-V FROM CADILLAC,HAS A 2007 CADILLAC UT, OK? VICIOUS
WERECAT,SONG TITLE BY MUSICAL GROUP TIGER ARMY. SIMILAR TO A WEREWOLF, BUT IN REFERENCE TO A TIGER.,CAT=PUSSY, HAS A TOYOTA NOT A CAT CAR
WRDSKNZ,WASHINGTON REDSKINS,redskin 'usually offensive' term for american indian. I believe we recalled anything with this term years ago
XTC4NG,ECSTASY FOR ANGIE,ecstacy can have a drug connotation
YB H8FUL,NOT ON QUICKWEB YET,WHY BE HATEFUL, includes the word hate but not really directed at anyone…
Y88SE,MY CAR IS A Y88 SPECIAL EDITION CAR,google says y88 is a 78 Trans Am special edition, customer has 3 1978 Pontiacs on ani. 88=hate symbol
1BDA AC6,MEANS A BAD SUPERCH ARGED CORVET,bad ass C6
1KLR BEE,MY CAR IS SUPER BEE,KILLER. ALSO HAS 2013 FORD, NO DODGE.
14GT42O,THE CAR IS A 2014 MUSTANG GT WITH 420 HORSEPOWER STOCK FROM THE FACTORY 14GT420 ITS ALL IN THE NAME,PULLED FOR 14 AND 420, DOES HAVE A 2014 FORD COUPE. IRONICALLY THE AUTO PLATE ON IT NOW IS 7DGC420…
619 LG,NOT ON QUICKWEB YET,pulled for area code. 619=customer's area code in San Ysidro
77777BO,777 BRINGS REASSURING THOUGHTS FROM YOUR SPIRIT GUIDES THAT THEY ARE WITH YOU AND YOU CAN NOW SAFELY RELEASE YOUR FEARS ABOUT WHATEVER SITUATION CONCERNS YOU. BO IS MY FIRST NAME,IF THE O IS READ AS ZERO IT WOULD BE A COMMERCIAL PLATE. BUT THEY NEVER START WITH ZEROS, RIGHT? OR END WITH THEM IN THIS CASE… COULD IT BE CONFUSED WITH A COMMERCIAL PLATE?
77777JO,777 BRINGS REASSURING THOUGHTS FROM YOUR SPIRIT GUIDES THAT THEY ARE WITH YOU AND YOU CAN NOW SAFELY RELEASE YOUR FEARS ABOUT WHATEVER SITUATION CONCERNS YOU. JO IS MY NICKNAME.,DIFFERENT CUSTOMER, SAME AS ABOVE THOUGH
8OPZCO8,LUCKY NUMBER AND NAME INITIALS.,PZC IS HIS INITIALS, NO 88 VEHICLE. PULLED FOR 88=HATE SYMBOL
9T4E42O,THE VEHICLE IS A 1994 MERCEDES-BENZ E420.,420=DRUG CONNOTATION, NO MERCEDES ON ANI
BLK AX,NOT ON QUICKWEB YET,AXE, WEAPON
BREED MC,NOT ON QUICKWEB YET,BREED CAN HAVE SEXUAL CONNOTATIONS
EMP 14,NOT ON QUICKWEB YET,14=HATE SYMBOL, NO 2014 VEHICLE
FE 88T3,NOT ON QUICKWEB YET,88=HATE SYMBOL, NO 88 CAR
INDO KTY,NOT ON QUICKWEB YET,INDOOR KITTY, THIS IS FOR M/C SO NO 'CAT' CAR HAS HONDA AND TRIUMPH M/C
13STBOB,NOT ON QUICKWEB YET,13=GANG NUMBER, DOES HAVE A 2013 HARLEY
KJ8$8JJ,KAREN JAFFE JON JAFFE OUR HOUSE NUMBER,NO 88 CAR ON ANI, 88=HATE SYMBOL. IT IS THEIR ADDRESS
BOX&LVR,THE CAR IS A PORSCHE BOXTER WHICH WAS A GIFT TO ME FROM MY HUSBAND AND ABSOLUTELY LOVE THE CAR.BOX* FOR BOXSTER,BOX=VAGINA, DIDN’T FIND PORSCHE UNDER HUSBAND OR WIFE'S ANI
5&4DONG,5 STAR FOR DON GUSTAVO,5 STAR FOR DONG, DONG=PENIS
DI LIVNG,DIE LIVING. IN OTHER WORDS, LIVE LIFE TO THE FULLEST,DIE
DVS TACO,DOUBLE V'S (VA VUE'S) TACOMA,DEVIOUS TACO
PHUKAT,PHU-CAT AIR BASE IN VIETNAM,"Phu Cat was an air base and it is an airport. ""PHUCAT"" is unacceptable already.(Fuck it)"
ACED18,NOT ON QUICKWEB YET,18=hate symbol
KCKRXX,NOT ON QUICKWEB YET,"urban dictionary says: ""to tell someone to leave, in the same sense of 'fuck off' or 'get out of here' some are out, some are unacceptable. This is a firefighter plate"
B HEL T,NOT ON QUICKWEB YET,"pulled for ""hell"" but customer had ""B HEL T2"" in the 1990's"
BLAU 991,BLAU IS BLUE IN GERMAN. 991 IS THE TYPE OF CAR MODEL,blue=gang color
F CAT,F TYPE JAGUAR,fuck it? does have a 2016 jaguar tho and they do make an F type
GLXY TCO,STANDS FOR GALAXY TACOMA, TRUCK IS WRAPPED TO LOOK LIKE A GALAXY IN SPACE. ALSO IN FOR SOCIAL MEDIA,HAS TOYOTA P/U, TACO=PUSSY
KJNLASS,CAJUN LASS,ASS
LKY7KAT,DAUGHTER CAR,kat=pussy, no 'cat' car
PATOER,NOT ON QUICKWEB YET,Pato (Duck) is the slang word used in part of Latin America to insult gay men. Customer middle name is Patricio
PS TT,PALM SPRINGS TRAILER TRAILER,TT=PENIS IN TAGALOG, this is an AUTO plate FYI
PUTZ63,deceased brother's nickname and year he was born,***this is a DUPLICATE, only say NO if you want to RECALL** PUTZ is Yiddish vulgar slang meaning penis, also means stupid person. This was originally ordered 6/15/15
RED SOL,NOT ON QUICKWEB YET,RED=GANG COLOR
SWEAT 13,OWNS A COMPANY CALLED SWEAT TRACKER, FOUNDED IN 2013,13=GANG NUMBER, NO 2013 CAR ON ANI
YYAAASS,A WAY OF AGREEING TO SOMETHING,YES BUT ASS ON THE END
BREED,NOT ON QUICKWEB YET,BREED CAN HAVE SEXUAL CONNOTATIONS
CRZ HRD,MIDDLE NAME AND LAST NAME: CRUZ HARDYMAN,CRAZY HARD. THIS IS M/C PLATE AND CUSTOMER IS FEMALE, THOS ARE HER NAMES…
HOLIFUK,HOLY FATHER'S UPPER KINGDOM( HEAVEN),HOLY FUCK
MEABIGA,NOT ON QUICKWEB YET,ME A BIG A… ME A BIG ASSHOLE? HER NAME IS ADRIAN.
AMMO SUX,I AM AN AMMO TECH IN THE MARINE CORPS,AMMO AND SUCKS
A10 M14,MY DAUGHTERS FIRST NAME INITIALS AND YEARS OF BIRTH,M14-GUN
BIFMLBU,NICKNAME,FML IN BETWEEN BI BU
BRAPP88,"ROTARY ENGINE NOISE ""BRAPP BRAPP"" 88= 8= WEALTH",COULDN'T VERIFY 1988 VEHICLE
BY G,MY FRIEND,G
CBAD 88,CARLSBAD 1988,COULDN'T VERIFY 1988 VEHICLE
GYSOT 69,GET YOU SOME OF THAT 69 EL CAMINO,FAGGOT IN ARMENIAN
ILYKIKE,EISENHOWER IN 55,I LIKE IKE OR I LOVE YOU KIKE
LENTO AF,NO MICRO,AF
OG ROJO,I'M A REDHEAD,OG RED
OM2 FYB,CHILDHOOD NICKNAMES,FUCK YOU/R BITCH
PNTHR14,WE ARE CAROLINA PANTHERS FANS AND 14 IS MY FAVORITE NUMBER,COULDN'T VERIFY 2014 VEHICLE
TITI84,NICKNAME AND YEAR OF BIRTH,TITI
VEGA8O5,MY LAST NAME AND CITY OF OXNARD'S AREA CODE,CA AREA CODE
WATTS 69,NO MICRO,COULDN'T VERIFY 1969 VEHICLE
13RAMBO,BOYFRIENDS NAME,COULDN'T VERIFY 2013 VEHICLE
4UATTRO,QUATTRO: ITALIAN FOR FOUR,SUBSTITUTION? DOES THE 4 LOOK LIKE A Q?
SUE 14,NO MICRO,COULDN'T VERIFY 2014 VEHICLE
HAWKS 88,THE CHICAGO BLACKHAWKS HOCKEY TEAM,COULDDN'T VERIFY 1988 VEHICLE
ADS 13,ATMOSPHERE DIVE PILOT 13,13 GANG REFERENCE
AMGAF,AMG AFFALTERBACH THE HOME OF MERCEDES AMG MANUFACTURING,AMG AS FUCK
A2229O3,A STANDS FOR ARIA MY CHILDS NAME AND NUMBERS ARE BIRTHDATES,LOOKS LIKE A TIN
BARRY G,MY NAME,CUSTOMER LAST NAME STARTS WITH A G
BLAZE 67,NICKNAME IN COLLEGE AND BIRTH YEAR,BLAZE AS IN FIRE OR AS IN SMOKE
BLUJANE,FICTIONAL CHARACTER,BLUE
BLUVL 8,BLUE VELVET,BLUE
BOMB BUS,I'M AN EOD TECH AND IT'S FOR A VW BUS,BOMB
BOYLH8S,PETS NAME BOYLE,BOIL HATES?
COCHO S,NICKNAME,COCHO SPANISH SLANG FOR VAGINA
CORONA G,MY LAST NAME AND FIRST INITIAL.,G AS IN GANGSTER, CUSTOMER FIRST INITIAL IS G LAST NAME CORONA
C13ONAV,NAVIGATOR ON C130 AIRCRAFT,13 GANG REFERENCE
C7595O5,KIDS BIRTHDAYS,TIN NUMBER
DBL DD,DOUBLE DD MEANS OUR NAMES DEAN & DONNA,DOUBLE D
DK SOULS,"REFERENCE TO THE VIDEOGAME ""DARK SOULS"", A POPULAR CONSOLE TITLE",LOOKS LIKE DICK SOULD OR DARK SOULS
DRKMARK,BLACK MARK VIII . SO IT'S A DARK MARK,DARK MARK
ESE VATO,THE DUDE,ESE VATO GANG REFERENCE
EVIL VET,EVIL MEANS THAT THE CAR LOOKS EVILS MEAN .. VET MEANS CORVETTE AS THE MAKE OF THE CAR,EVIL VETERANARIAN OR VETERAN
FEELR UP,THE CAR IS A V8 AND USES A LOT OF GAS. THE LICENSE PLATE MEANS FILL THE CAR UP.,FEEL HER UP… SEXUAL REFERENCE
F14 AV8,F14 AVIATION,14 GANG REFERENCE
GGJAK18,INITIALS OF VEHICLE OWNER AND SPOUSE WITH LUCKY NUMBER,18 HITLER REFERENCE
G HOUSE,MY LAST NAME IS GILLHOUSE,G AS IN GANGSTER
GIRRTH,TRUCK IS A WIDE BODY STANCE,GIRTH COULD BE USED AS A SEXUAL REFERENCE
GUNMOLL,FEMALE OUTLAW,GUN
G5S HUMR,FIVE'S HUMMER MY WORK NICKNAME G5 AND MY CAR IS A HUMMER,HUMMER
IPMTACO,TRUCK MODEL,TACO
ITS BIG,MY CAR HAS A BIG ENGINE V8,IT'S BIG… COULD REFER TO CAR OR ANATOMY
JAFO916,JAFO = MY NAME - JEFFREY A FORDIS,916 AREA CODE CUSTOMER INTIALS J.A. FORDIS
JSNJ N13,JASI AND JEN 2013,13 GANG REFERENCE
KLLR BB6,WHAT I CALL MY CAR,KILLER
LAYZ 911,LAST NAME LAY CAR IS 911,LAZY COP
LEWS BB6,,LEWD
LIFTEAT,LOVE FOR THE GYM,LIFT EAT?
LIT ISF,LITTLE LEXUS IS F,LIT HIGH DRUNK
L8R LUZR,IT MEANS LATER LOOSER, I RACE THE CAR ON THE TRACK AND BEING THAT THE CAR IS FAST I WANT JOKE AROUND WITH THE PLATES AFTER I WIN THE RACE.,LATER LOOSER
MMABLZ,,BALLS
ND 14,I AM A GRADUATE FROM THE UNIVERSITY OF NOTRE DAME IN,14 GANG REFERENCE
NURS916,I'M A NURSE AND I LIVE IN THE 916 AREA CODE.,916 AREA CODE
OFUKGVN,FAMILY NAME,O FUCKS GIVEN
OG SRT8,OWNER NAME AND CARS TYPE,ORIGINAL GANGSTER
OG WZRD,NAME OF THE FANTASY FOOTBALL TEAM I MANAGE AND MY LONGTIME NICKNAME GIVEN TO ME BY MY FAMILY AND FRIENDS.,ORIGINAL GANGSTER
OMW2FUK,MY RESTAURANT IS CALLED FUKKS SUSHI SO THIS IS ON MY WAY TO FUKKS SUSHI THANK YO,ON MY WAY TO FUCK
PEWW PEW,IT HAS NO MEANING. IT IS JUST FUNNY.,GUN REFERENCE
PSY2OO6,,PSY LOOKS LIKE ASLANG WORD FOR VAGINA
RAMS951,LA RAMS FOOTBALL TEAM AND AREA CODE,951 AREA CODE
RT HEM14,MY DODGE,14 AREA CODE
SAMI 14,MY SON NAME AND YEAR OF BIRTH,14 AREA CODE
SD619O4,SAN DIEGO CALIFORNIA,SD AS IN SAN DIEGO 619
SEXYSX3,SEXY 63 IMPALA,SEXY
SEXYSX7,SEXY 67 IMPALA,SEXY
SICK SOB,NO WORRIES,SON OF A BITCH
SLJA 18,FAVOTITE,18 HITLER REFERENCE
SLW BUS,SLOW BUS. FOR A 1978 VW BUS,SLOW BUS
ST8 UP G,MEANS THAT I AM A ORIGINAL ANGELINO FROM THE CITY OF LOS ANGELES. BORN AND RAISED,STRAIGHT UP GANGSTER
SWISERZ,BASKETBALL TEAM,SWISHER BLUNT
SWISHRR,THIS IS MY DOGS NAME,BLUNT MARIJUANA WRAP
SXY RED,SEXY RED,RED
TEXXXAN,I AM ORIGINALLY FROM TEXAS. I WANTTO KEEP A LITTLE OF TEXAS ON MY CAR.,XXX
WLSVGNA,WILSON VIRGINIA,VAGINA
WF88AEC,,88 HITLER REFERENCE
YEKNOD,DONKEY SPELLED BACKWARDS,DONKEY
ZROW FOX,ZERO FOX,O FUCKS
1OQ1OQ,THANK YOU THANK YOU,LOOKS LIKE AN EXEMPT USING SUBSTITUTIONS
11 JEFE,THE 11 TH BOSS,JEFE BOSS
12 TACOS,TWELVE TACOS,TACO
13JCS26,SON'S INITIAL NAME,13 GANG REFERENCE
2BALZJP,MR. AND MRS. BALZ JEEP,BALLS CUSTOMER LAST NAME IS BALZ
2261O7B,BIRTHDAY DAYS MY WIFE AND MY CHILDREN AND MY BIRTHDAY B,LOOKS LIKE TIN
42O JEEP,NO MEANING, RANDOM,420 MARIJUANA REFERENCE
714CNTY,714 IS THE ZIP CODE AND CNTY FOR COUNTY JUST ANOTHER WAY TO SAY ORANGE COUNY,714 AREA CODE
805 NOK,CAR CLUB,805 AREA CODE
831 JEFA,BIRTHDATE & BOSS,831 ARA CODE
88JKK88,MY WIFE'S NAME AND LUCKY NUMBER,88 HITLER REFERENCE
HIP SHTZ,AM A PHOTOGRAPHER SHOOTING PHOTOS FROM THE HIP, ESPECIALLY LOVE YOSEMITE!,HIP SHOTZ OR HIP SHITS
APHUSLE,MY INITIALS,AP HUSTLE CUSTOMER INITIALS ARE AP
AZCAT14,COLLEGE AND YEAR I GRADUATED,14 GANG REFERENCE
BLACK AS,THE MEAN IS THAT OF SATIRE.,LOOKS LIKE BLACK ASS
BLU  RKT,BLUE ROCKET, FOR THE BLUE CAR THE PLATES WILL BE ON.,BLUE ROCKET
BY COP,BY COP HAVE A GOOD DAY,BYE COP
DRMEL OD,MY NAME IS MELODY AND I AM AN OPTOMETRIST (OD=OPTOMETRIST, MD=MED DOCTOR),OD AS IN OVERDOSE
FUQYUU,YOU SUCK,FUCK YOU
G REALTR,MY NAME IS GRANT AND IM A REALTOR,G AS IN GANGSTER CUSTOMER FIRST NAME STARTS WITH A G
GTRKLLLR,,KILLER
IGTURSX,I GOT YOUR SIX,I GOT YOUR SEX
LAND 88,MODEL OF CAR,88 HITLER REFERENCE
O2 FTW,MODEL OF THE CAR AND INITIALS OF MY GRANDFATHER'S NAME, FRANCISCO TWAIN WELLO,FUCK THE WORLD FOR THE WIN
PAPA DZ,PAPA D CAR,DZ AS IN THE DEEZ NUTS
SMKNJMY,SMOKIN JIMMY - NICKNAME,SMOKIN JIMMY
SPMERMD,SAN PEDRO MERMAID,IT KIND OF LOOKS LIKE SPERMED
THZ NUTS,I SELL ASSORTED NUTS AT THE STREET FAIRS,THESE NUTS
WKNDHSL,WEEKEND HUST,WEEKEND HUSTLE
FXRLOCO,ITS A TYPE OF MOTOR CALLED A FXR AND THE MEANING MEANS CRAZY FXR IN SPANISH,FUCK HER CRAZY
MR BOM,MR VU - NICK NAME AT HOME,BOMB
SIXGUNZ,SIX CYLINDERS,6 GUNS
WETHEAD,BMW BIKES HAVE BEEN AIRHEADS, OILHEADS AND NOW WITH LIQUID COOLING, WETHEADS,WET HEAD COULD BE A SEXUAL REFERENCE
1 RT NUT,THERAPIST/ COUNSELOR.,1 RIGHT NUT AS IN TESTICLE
GUFFGVR,GUFF GIVER,GUFF TO START TROUBLE
SUCDBLD,SUICIDE BLONDE,SUCKED BLOOD
VAPE H2O,BREATHE THE PURE WATER EXHAUST FROM MY HYDROGEN FUEL CELL CAR,VAPE AS SMOKE
FRISK69,MICRO NOT AVAILABLE,FRISK 69 TO FRISK IS TO CHECK SOMONE 69 SEXUAL TERM… FRISK COULD ALSO BE SHORT FOR CUSTOMER NAME FRANCISCO
LG FAUX,MICRO NOT AVAILABLE,FAUX FOE OR ANOTHER WAY TO SPELL FUCKS
VAGIYO,MICRO NOT AVAILABLE,LOOKS LIKE VAGINA, CAN NOT TRANSLATE
7NT X XX,MICRO NOT AVAILABLE,XXX SEXUAL TERM
WLS 13,MICRO NOT AVAILABLE,13 GANG REFERENCE HOWEVER COMPANY HAS SEVERAL IN SERIES(WLS 12,15,16 ETC)
WLS 14,MICRO NOT AVAILABLE,14 GANG REFERENCE HOWEVER COMPANY HAS SEVERAL IN SERIES(WLS 12,15,16 ETC)
BLKBISH,TRUCK DESCRIPTION,BISH-BITCH
CHIVA,NICKNAME,A TYPE OF BUS. MEXICAN HEROIN. MEXICO SOCCER TEAM.
CUDDIE,MY MUSICIAN NAME,SEX
DA CUTY,NO MICRO,SEX
FIREARM,NO MICRO,GUN
FISHBOX,I AM STARTING A NEW COMPANY CALLED FISHBOX,FISH. BOX. LIVES IN MALIBU
FKNSPLD,FULL FIGURED KNOCK OUT N SPOILED,FUCKIN SPOILED
FTFO,NO MICRO,FUCK THE FUCK OFF
HLCTKLR,BECAUSE IT'S A MUSTANG AND I USED TO HAVE A THING FOR THE HELLCAT BUT I LIKE THE MUSTANG BETTER SO I THOUGHT THIS WOULD BE KIND OF A COOL PLATE,HELLCAT KILLER
HO LEFUK,COMPANY NAME,HOLY FUCK
HOT 2NA,HOT TUNA. LIKE THE BOAT IN THE SHOW WICKED TUNA,TUNA
J MOTA,NO MICRO,MOTA-WEED
